id	sentiment	review
"4323_4"	0	"European Vacation (aka National Lampoon's European Vacation) is the weakest of the Vacation films (the first and third one the most superior of the films). While Chevy Chase and Beverly D'Angelo return as Clark and Ellen Griswold (with new actors in the roles of Russ and Audrey Griswold), this time they are given a weaker script with very bad dialogue. This causes the pacing to suffer, with the jokes not very funny at all. To be more specific, what really causes this film to suffer is the fact that the \"jokes\" as they are, are just pasted together into a cobbled-together script), rather than serving a central plot as the other 3 Vacation films have. Oh well, they can't win them all. 4 out of 10."
"1936_10"	1	"this independent film was one of the best films at the tall grass film festival that i have ever seen there i loved it there are so many things that was great about the film on top of all that the cast and crew that i had the opportunity to meet were absolutely phenomenal.I thought that Avi did a great job in his role. and Ricky Ullman was absolutely true to his role for a Disney actor i was amazed at his talent to be able to go from cheesy teen comedy to such an adult role with no problems the talent in the film was just amazing the cinematography was just great if you want to see an independent film this is one really that you should see.I think that Mr Gruver would have been so proud to have such a submission in his festival and his parents loved the movie so much when it won the audience favorite they went and saw it again. this truly was a great film it was dark and funny and sad and truly emotional it was just fabulous. I am honestly just so enthused by this film and i really don't want to spoil it for any one just see it and truly be amazed at it i think that these film makers really have what it takes to go places and I hope to see more work from them in the future."
"2434_4"	0	"Realistic movie,sure,except for the fact that the characters don't look like to be scared. When Billy Zane tries to kill someone, he feels bad...but he doesn't look like to. That's why I don't like his performance in this movie. Tom Berenger is again playing a soldier. No good thrill, realistic sequences. Not always shooting, that is one great thing. Well filmed. I hate the helicopter sequence, cause only one terrorist kills almost the whole marine bunch...I give it **and a half out of *****"
"8689_7"	1	"Perfect cast for a few-person drama. Simon is dead but somehow resurrects from outside. What he had seen there is displayed in form of blank spots orchestrated to a magnificent score by German avant-garde composer Werner Henze. Simon is haunted by his death, comforted by support of death people he'd seen on the other side. His girlfriend tries to hold him to life but failing to, decides to follow him after his finally occurring death. Very touchy and moving, deeply psychological, but a bit slow and somewhere even boring."
"10123_3"	0	"I imagine when Hitchcock scholars and experts find themselves together, the talk is not of the Master's great films like \"North By Northwest\" or \"Strangers On A Train\", but a lesser-known effort like this one from 1931, obscure and seriously flawed, which showcases the great director in fledgling form.<br /><br />Emily and Fred Hill (Joan Barry and Harry Kendall) are a middle-class London couple scrimping to stay ahead. He begrudges their lot; she accepts it. Change comes in the form of a letter from an uncle, saying he will set them up so they can enjoy a life of globetrotting luxury. They make plans for a world cruise. But their problems have only begun.<br /><br />Just ask Richard Hannay, Roger O. Thornhill, or Marion Crane. Well, Marion's indisposed at the moment, but you get the idea. Travel and Hitchcock go together like moths and candlelight, setting one up for a perilous journey at best. This is perhaps Hitchcock's earliest foray into this theme, and not his most successful or memorable. Hitchcock tries to mix comedy with another element, in this case domestic drama rather than suspense, but the two do not cohere, at least not here.<br /><br />The Hills are a dull, flat couple, with no chemistry or personality. When they find themselves at the Folies Bergère, in the form of cross-cutting with footage that looks ten years older than the rest of this film, they are abashed at the outfits of the female performers. \"The curtain's gone up too soon!\" gasps Emily. \"They aren't dressed.\"<br /><br />When the Hills drift away from each other on an ocean cruise, it seems a mercy killing more than a tragic thing, even if the people they partner off with are drips, too. Emily's man, Gordon (Percy Marmont) carries around photographs of himself sitting next to empty chairs, which he suggests be filled by Emily. Fred's girl \"the Princess\" (Betty Amann) has Clara Bow's eyes and Wallace Beery's five o'clock shadow. There's also an obnoxious fellow passenger, a dowdy spinster whom Hitchcock always introduces with a cartoonish horn cue. Subtlety was still to come.<br /><br />Everything is shot in an abrupt manner, with confusing blocking and strained dialogue. Hitchcock tries for some early comedy with Fred and his umbrella that doesn't come off, and Kendall seems to aim for laughs while Berry plays for tears. When Fred and Emily break off, they are seen being jostled on a pair of wedged-together rickshaws, one of many clunky attempts at symbolism.<br /><br />Emily's the only vaguely sympathetic character, in part because she really cares about her husband and agonizes over her affair with Gordon, but mostly because she's among the first of Hitchcock's many magnetic blondes, her platinum ringlets whipping around her face like a Botticelli aboard the open deck of a Chinese junk near the film's conclusion.<br /><br />Matters conclude with a dangerous situation as set-piece for the protagonists to come to grips with, and presumably repair their relationship. Only they aren't active participants in the resolution, and except for the fate of a friendly cat, nothing about the ending resonates.<br /><br />At least you get some enjoyable views of London in the early 1930s, and a chance to see Hitchcock when he was still working for food. \"Rich And Strange\" is Hitchcock paying his dues, and learning his trade, one for scholars but not casual film goers."
"4500_4"	0	"This movie isn't terrible, really. Somebody commented that Mo is the type of American Europeans snicker at. But there are those, and not necessarily Anglo-Saxon yahoos, who do not care for Frenchmen; and the Xavier character isn't going to sway them.<br /><br />Let's consider his stereotypical Frenchman attributes:<br /><br />1). Cynical - very cynical. Check.<br /><br />2). Reedy, underfed appearance, check, despite:<br /><br />3). A great appreciation of cuisine. Check.<br /><br />4). Lukewarm work ethic. Check. (Forget the fact he is supposedly a rich stockbroker, from watching him in the film he seems to put in ten hour workweeks.) <br /><br />5). Beautiful wife, check. Despite that:<br /><br />6). Loose interpretation of the marriage vows. Check.<br /><br />7). Big sexual ego, which says an American girl owes you sex if you buy her dinner. Check.<br /><br />Whether Mo is a hick or not, there's no reason for her to fall for this smug European twit other than the script dictates so.<br /><br />On the other hand, as other male reviewers have, I did enjoy seeing Karen Allen's cute, petite body. I'll give the movie four stars; two of them are for that."
"5187_7"	1	"This series was just like what you would expect from Mr.Spielberg. It is truly one of those frighting, funny, childish shows that you won't forget. Just like Outer Limits (another great show) this little series does what not a lot can. It was great, and deserved to run longer. It was a great show, that even kids could watch, though some of the shows were a little scary when they wanted to be, but all of them always had a moral at the end (like the Twilight Zone) that made you realize what situation you didn't want to end up in, or ones that you did. I remember watching some of these on Sci-fi when I was 10, and even now, I still enjoy seeing them when I can. Truly a fun, imaginative show. I loved it, and still do."
"10744_3"	0	"In the first one it was mainly giant rats, but there were some wasps and a giant chicken too. This one, however, is just giant rats period, well giant rats and one really growing little boy. This one is about this growing boy and a scientist that is trying to help him so he accidentally creates giant killer rats...you know how it is. This movie has some kills and its moments, but I find it to be on par with the original, I just prefer some variety in my giant creature movies. Well, that is not true...I actually like \"Empire of the Ants\", maybe I just do not care for giant rodents. All in all a rather drab movie though it does have one rather odd turn of events in this one dream sequence that is truly bizarre. I just can't recommend this one."
"4497_7"	1	"I saw only the first part of this series when it debuted back in the late 90's and only recently got a chance to watch all three parts via Netflix (convenient service by the way). All in all, I liked this lighthearted, sometimes genre challenged, mini series. The story of a younger man falling for an older woman seems to work and the actors are all fine. Yes, it does have some romance clichés of running in the rain or a train station goodbye, but the characters have a chance to be explored so it doesn't seem cheesy, like it would be if this were some Tom Hanks vehicle or similar. Robson Greene, who at times reminds me of a separated-at-birth Scott Bakula does a fine job of someone who is head over heels in love and the ebb and tide of desire and rejection throws the series into watchable fare. Personally, I think the series could have been done with two episodes, but that's up for debate I suppose. Apparently, there's a sequel, and that should be arriving tomorrow via Netflix."
"1198_4"	0	"Amy Poehler and Rachel Dratch are among the funnier women to have been on \"Saturday Night Live\". It's unfortunate that they, along with Tina Fey and Maya Rudolph, were on SNL during the longest stretch of unfunny writing and sketch-making (circa 2002-2006) the show has ever had. Still, these two women most especially know what's funny, and they know how to write a funny movie.<br /><br />You'll notice in the credits of this movie that Dratch and director Ryan Shiraki wrote the story for \"Spring Breakdown\", but who wrote the actual screenplay, consisting of dialogue and all the important fill-in-the-blank material that makes a story into a multidimensional movie? Yep, just Shiraki. Just one guy wrote the dialogue for this movie, and no women apparently wrote the script with him. The result is a pretty cliché spring break movie that doesn't so much spoof the faux holiday as much as exploit it equally as much as MTV does every year.<br /><br />If Dratch, Poehler, and even co-star Parker Posey could have contributed their handwriting to the screenplay, it would have been far less cliché. The premise is original, being about three thirty-something women who were unpopular in high school (and apparently college, too) who never had the fun spring break trip they allegedly dreamed about. I say \"allegedly\" because you never quite know what fun is to these characters. They entered talent shows in the past where they sing stale pro-woman anthems like \"True Colors\", and spend their nights together holding make-your-own-pizza parties. Even though none of them are especially unattractive, the outside world appears to treat them like they are. There's a scene where a blind student of Poehler's (played by Poehler's real life husband Will Arnett) asks her out on a date, only to touch her face and immediately change his mind. If Poehler's character is supposed to be unattractive, they obviously hired the wrong actress.<br /><br />The movie continues to show promise, even though we have our doubts about the main characters, when Posey's boss, Texas Senator 'Kay Bee' Hartmann (Jane Lynch, funny as always) hires Posey to watch over her unpopular college-age daughter (Amber Tamblyn, playing yet another woman who's attractive in real life, but not in the eyes of any characters in this movie) while she goes to a Laguna Beach-like vacation spot for Spring Break. Poehler and Dratch come along, they reluctantly get boozed up, party like they apparently should have when they were in college, and then comes the ultimate showdown with the sorority bitches lead by Sophie Monk.<br /><br />Sophie Monk is an incredibly attractive woman who has a body both women and men would kill to have for different reasons. Unfortunately, her movie career is off to a rough start with the abominably unfunny \"Date Movie\" (2006) and the disappointing \"Click\" (2006). Here, she plays a Southern belle, although her voice sounds like she stole Delta Burke's voice box. She hams it up a little too much, trying too hard to play a conniving bitch that she comes off as much like a caricature of spoiled college kids as the rest of the extras.<br /><br />\"Spring Breakdown\" was released straight to DVD despite the star power of Amy Poehler, but rightly so because the story is way too cliché. It may as well have been called \"National Lampoon's Spring Breakdown\", and the magazine probably wouldn't have sued for trademark infringement because of the free publicity. If director Shiraki had given at least one woman the creative input, especially Rachel Dratch, this movie would have been great and not nearly as run-of-the-mill as frat-house comedies we've seen before. I know Dratch will come up with another funny concept, and hopefully be allowed to fill in the rest of the screenplay herself. She's funny enough, and she deserves better than this half-baked comedy that would accept Stiffler's brother with open arms."
"5077_1"	0	"It was pointed out in a now deleted post from another IMDb user that anyone who might see \"The Medusa Touch\" should be warned about a scene that's eerily reminiscent of the Sept. 11, 2001 terrorist attacks in NYC. But I hope anyone reading this will consider this warning. Despite an interesting pedigree (producer Elliott Kastner produced \"Harper\" and \"The Long Goodbye\"; co-producer Arnon Milchan co-produced the Oscar-nominated \"L.A. Confidential\" and screenwriter John Briley won an Oscar for \"Gandhi\") and an international cast, I found \"The Medusa Touch\" to be a heavy-handed, unintentional laugh riot. It was a poorly directed, horribly written and acted mess. It tried to capitalize on the 70s telekinetic thrillers genre. The movie fails on many counts. Please consider \"Carrie\" and the underrated \"The Fury\" (both directed by Brian DePalma). They were two entertaining and exciting thrillers that dealt with the same subject matter."
"3067_9"	1	"What a surprising treat to come across on late television. Had I only read a brief plot rundown on a television listing before seeing the movie, I would have passed. The idea of a movie about a hit-man-seeing-a shrink-wanting-to leave-the-business-and-falling-in-love....sounds trite. But the film works. From the start of the movie, it's clear the man carries a weight on his shoulders, before he even says a word. The look and feel of the film is perfect. dark, but not obnoxiously so.<br /><br />Aside from the hit-man family aspect which provides a touch of surrealism, Macy's character grapples with his marriage, and his father's control. Macy shows a repressed sadness, and his bedtime talks with his young son are amazing. The young boy shows acting skills well beyond his years, and the interaction between the father and son is so very natural, personal and loving.<br /><br />This is one of the best movies I've seen in a while, and I can't believe I came across it by accident on late night television."
"1940_3"	0	"the writing of the journalists and the required over eager reckless press officer and sobbing grandma was ham-fisted and cliché ridden.<br /><br />I cant blame the actors, but surely someone must have said \"are you joking I cant say this!\"<br /><br />This episode had a press perspective and police perspective, while the police perspective was standard enough, the press perspective and characterization was overdrawn exaggerated and at points insultingly unbelievable.<br /><br />I notice that this was an HBO co production, if so then perhaps the sledgehammer stereotypes can be explained in that light,<br /><br />I was completely cringing during the press conference scene. it lacked any credibility and did not remotely ring true. 40 minutes into the first episode and I am still waiting for the suspense.<br /><br />Skip Five Daysthis. the 2008/9 production with these characters is far better and more suspenseful even if the crime is over the top.<br /><br />This story had unforgivable moments which can only be described as staggeringly unbelievable.<br /><br />For a press officer to start a press conference without an investigating officer present to take press questions.<br /><br />so unbelievable it felt like amateur hour.<br /><br />I then began looking for Journalists called \"Scoop\" and for Perry White to make an appearance.<br /><br />I saw the 2009 Hunter before \"five days\"made it to Australia, not realizing it was a prequel and was looking forward to Bonneville and McTeer going around again.<br /><br />Head shakingly awful."
"11022_4"	0	"In its way, Mister Foe (originally, and more appropriately, titled Hallam Foe  I can't see addressing its title character as \"mister\"), is a tribute to good acting. Both Jamie Bell, as Hallam, a physically attractive voyeur/creep, and Sophia Myles, as Kate, his kinky partner in sex and fantasy romance, are convincing. The problem comes when you try to connect their roles to anything that happens in real life. A young man who spies on the intimate details of people's lives the way Hallam does would be deservedly beaten to a pulp. And a woman in Kate's situation would be repulsed and frightened - she would probably call the police.<br /><br />These things are not, however, what happens in the movie. Poor Hallam's mother has died and his father married a woman with whom he's been having an affair. Hallam, of course, hates his stepmother and lets he know it. She has sex with him. Kate's some kind of an employment person who places Hallam in a dish washing job and plays sexual games. She looks like his birth mother. It all ends happily with Hallam \"resolving\" his \"issues\".<br /><br />Forty some years ago, the play and brilliantly acted movie, Who's Afraid of Virginia Woolf, had a similarly optimistic ending, with characters becoming wiser and better after tearing each other apart. The trouble is, it doesn't always work that way, especially when nobody really cares. In Virginia Woolf, the ending's plausible because of the intensity of the emotional revelation. In Mister Foe, the emotional revelation never really happens."
"11201_7"	1	"Surprisingly good early effort from Alfred Hitchcock. One of the only original screenplays written by Hitchcock himself, this film shows remarkable story structure. It kicks off with a rousing boxing match in which carnival champ \"One Round\" Jack loses to a challenger from the audience who happens to be a professional prizefighter. The movie then slows down to develop the characters and introduce a love triangle between Jack, his girl and the professional boxer. The rest of the film is a dramatic buildup to the rematch between the two men, this time for the heavyweight crown. Even in this early film, Hitchcock shows his talent for meaningful cinematography and prop placement. An armband bought for the girl by the boxer continues to pop up throughout the movie as a symbol of her unfaithfulness. The only big detractor of this film is that the art of filming a boxing match had not yet been perfected in 1927. The final match, as a result, ends up being somewhat anticlimactic. The story, though, is what carries this film through."
"1859_8"	1	"In his directorial debut, Denzel Washington takes a true story that also happens to be a very difficult story and brings it to the screen with an honesty that we have come to expect from Washington's acting efforts, but now we see this touch as a director.<br /><br />Recently we have seen some of the disastrous results of kids who have fallen through the cracks of public protection. This story tells of a nightmare existence that leaves terrible scars but suggests the triumph of the human spirit in the end.<br /><br />We can nit pick on some first effort problems with too many close ups and not the best of editing these scenes but the simplicity of other scenes that project such power cannot be understated.<br /><br />If the academy overlooks this film it will be travesty. This film pulls no punches and goes to the cold hard facts of the story with a purity that usually doesn't transcend from a novel to the screen. This , of course , is a tribute to the Director.<br /><br />This is a dandy so go see it and tell your friends to go see it too!"
"9376_1"	0	"while watching this movie I got sick. I have been grewing up with Pippi and every time was a real pleasure. when my wife came to Sweden she was looking at the oldies and had a real good laugh. but this American version should be renamed and never be shown again. it is terrible from beginning to it's end. how can they manage to make it soo bad. well I guess someone blames the translation ha ha ha.. but they are never close to Pippi. may this movie never been seen again and never sent out on a broadcast. burn the movie and save the kids. if you want to look at Pippi then look at the original movie and have a good laugh. WE LOVE PIPPI INGER NILSSON, sorry Tami Erin you will never stand up to be Pippi.. Oh yes.. when read the \"spoilers\" explanation, \"'spoiling' a surprise and robbing the viewer of the suspense and enjoyment of the film.\" well I guess the director stands for this... you are looking at this movie at your own risk.. it is really a waste of time..."
"2017_10"	1	"After reading only two of the comments herein, as a lifelong Bronte fan, beginning with Olivier's Heathcliff and enduring with the many versions of Charlotte's \"Rochester,\" it is more than eye-opening to see that it is the UNsung Bronte sister who gave the lie to the male-chauvinist period the trio inhabited. Of course, the \"miracle\" in all three versions of 19th-Century British domesticity is that the \"girls\" were all \"spinsters\" and their only realistic brushes with \"men\" were their vicar father and their wastrel? brother. That said, finally, it is ANNE Bronte who has, in her single assay?, proved the \"feminist\" point, way way ahead of contemporary types, and including the \"voting franchise\" ranks. However, history evinces more than a few who preceded, including the Greek heterai and Sappho and the likes of an ancient emperor's Yang Kuei-fei. And how about \"Eve\" and her apple?"
"7251_1"	0	"Great western I hear you all say! Brilliant first effort! Well I'm not sure what film you all watched but it must have been a different one to the one I saw. Great westerns or indeed good films of any genre have characters you can believe in and this film had none! The acting was poor to say the least and I couldn't care less about any of the characters, making the whole film pointless. the story was too big for the makers and perhaps they should try their hand at making straight to TV low budget rubbish like you see on those \"FACT OR FICTION\" programmes on sci-fi.<br /><br />Please, if you are looking for a good film, a great western or even just an enjoyable hour and a half, please look elsewhere."
"11985_3"	0	"Ever wanted to eat worms? Here's a 'documentary' to show you how! Yeah...The kid eats live worms! And that's about the most interesting part of the movie.<br /><br />This movie has been pretty well summed up by previous reviewers as rather boring. I'm totally in agreement here. The movie just doesn't go anywhere....unless you're fond of worm eating! This is one movie it's almost impossible to write a spoiler for....because nothing much happens.<br /><br />Now on the technical side: They should have given that kid a haircut. Who's he trying to look like anyway...Bozo the Clown. It was almost comical...I almost expected him to turn into the shaggy dog or something.<br /><br />And on top of that; the kid was way too chunky to ever look hungry! Should have kept him off the junk food for a couple of weeks before filming.<br /><br />All in all, this movie nearly put me to sleep. And my kids could only handle about 15 minutes before they left the scene for something more interesting.<br /><br />I will admit that the scenery was very impressive. And had there been a decent story to go with it, it might have made a hit.<br /><br />It did seem safe enough for kids to watch: The bear scenes and the 'oddball' eyeball were too weak to frighten most kids, and the brief 'skinny-dipping' scene didn't show anything.<br /><br />I gave this one a very generous 3."
"1827_10"	1	"All dogs go to Heaven is one of the best movies I've ever seen. I first saw it when I was like 3. Now I'm 12 and I rented it, it makes me think of things and it brings back so many memories, those were \"the days\". I love the music, I love when Charlie is arriving in Heaven, I love the song \"Let me be surprised\". I love how Charlie looks and his voice, Bert Reynolds could only play Charlie's voice this great. I love this movie, the 1st one is the best one because it's so original and great. It really does bring back memories that no one can describe, not even me. If only I could go back to those days. I love the characters. If this is the way the memories come back when I'm 12 imagine how I'll feel when I'm like 19, I hope I'll be able to watch this when I'm older. When I first seen this I never knew that I would really look back on it and feel this way , I hope it will be available to watch. I'm so happy that this movie was made and the amazing idea came to mind and heart. On a scale from 1-10 I'd give it a perfect 10. It's an amazing movie. It's so hard to explain the feeling, when I get older and if I have kids, I hope they can experience this feeling."
"1691_8"	1	"This movie is funny and suitable for any age. It is definitely family-type entertainment. The cast does a fine job playing folks in the mid-western town of Big Bean, Illinois. Where we must assume nothing ever happens since the excitement (pre-invasion) of the decade is the new (and only) exit ramp from the Interstate. The location appeals as suitably boring and totally unlikely for the invasion of earth by Martians. But these Martians are totally inept, despite being well-equipped with an arsenal of suitably ghastly and deadly weapons... including one set on eradicating the Martians, too! The Martians dead-pan their lines and throw in just the right accents to make us the viewers and the locals wish to help them... leave earth. J. J. Anderson playing the very young Halloween carnivorous duck has just great lines. Watch this movie for laugher and entertainment; thought-provoking it isn't. But subtle and enjoyable it is."
"4399_9"	1	"The most succinct way to describe Ride With The Devil is with but one word: authenticity. I will not rehash what has already been said about this wonderous film, but I would like to say how much the historical research and painstaking attention to detail the crew no doubt went through was appreciated by this filmgoer.<br /><br />As a student of history familiar with the period and setting of this film, I must say that this production is one of the most accurate fictional films regarding \"bleeding Kansas\". Yes there were liberties taken on the actual events, as all fiction is apt to do. But the overall feel of the film is genuine. Authentic costumes, authentic attitudes (no PC hindsight here) even the actors look authentic.Even Jewel Kilcher (who has a small part in the film) looked like she stepped form a mid 19th century photograph.<br /><br />A few viewers I talked with have expressed their incredulity at the stylized dialog. They cannot believe that 19th century farmers would \"talk like poets\".<br /><br />What they don't realize is that in this age of verbal slobbishness, the American public public of the 19th century was a surprisingly literate and eloquent bunch. These people were raised on Shakespeare and the King James version of the Bible. The screenwriters reconstructed the most likely verbal styles of these people, judging from documentation of the time. The stylized dialog just adds to the magical atmosphere of the film.<br /><br />But in addition to a historical document, this film works on a visceral level as well. Beautifully photographed and performed, it harkens back to the days of the great western epics. The raid on Lawrence, Kansas, done so many times before in so many other, lesser films is portrayed with a sense of urgency that puts the viewer right in the midst of the action.<br /><br />Romance, adventure, moral and ethical conflict.This film has everything a discerning moviegoer could want. <br /><br />In a year that was dominated by overhyped garbage like American Beauty, this great artwork was buried by an indifferent studio system. But I am certain that Ride With The Devil will be given it's due in the coming years. Please rent this film. You will not be disappointed."
"807_2"	0	"I didn't expect much from this TV movie. You have to set the bar lower than you would for midget limbo for any TBS movie starring Antonio Sabato Jr. Still, it managed to disappoint, failing even to be a good-bad film.<br /><br />Every scene was by rote, as if someone had cut and pasted scenes from a dozen movies and tv shows dealing with big business conspiracies into the script, leaned back and said, \"My work is done\". It's all cliche, all predictable, and, even worse, the actors are forced to look like they're taking it seriously, (even when the plot developments are laughable).<br /><br />Do yourself a favor. Watch \"The X-Files\" if you're in the mood for paranoia. They handle it better. Also, let anyone know that sitting through \"Fatal Error\" is just that."
